0.0	3.9	1
3.9	3.9	1
7.8	3.9	1
11.7	3.9	1
15.6	3.9	1
19.5	3.9	1
23.4	3.9	1
42.9	3.9	1
46.8	3.9	1
50.7	3.9	1
54.6	3.9	1
58.5	3.9	1
62.4	3.9	1
66.3	3.9	1
85.8	3.9	1
89.7	3.9	1
93.6	3.9	1
97.5	3.9	1
101.4	3.9	1
105.3	3.9	1
109.2	3.9	1
128.7	3.9	1
132.6	3.9	1
136.5	3.9	1
140.4	3.9	1
144.3	3.9	1
148.2	3.9	1
152.1	3.9	1
171.6	3.9	1
175.5	3.9	1
179.4	3.9	1
183.3	3.9	1
187.2	3.9	1
191.1	3.9	1
195.0	3.9	1
214.5	3.9	1
218.4	3.9	1
222.3	3.9	1
226.2	3.9	1
230.1	3.9	1
234.0	3.9	1
237.9	3.9	1
257.4	3.9	1
261.3	3.9	1
265.2	3.9	1
269.1	3.9	1
273.0	3.9	1
276.9	3.9	1
280.8	3.9	1
300.3	3.9	1
304.2	3.9	1
308.1	3.9	1
312.0	3.9	1
315.9	3.9	1
319.8	3.9	1
323.7	3.9	1
